Variable,Sex,Age_years,SBP (mmHg),DBP (mmHg),WC (cm),BMI (kg/m2),Sum4Skin (mm),TC (mmol/L),HDL-C (mmol/L),LDL-C (mmol/L),TC:HDL-C ratio,TG (mmol/L),Glucose (mmol/L),Insulin (pmol/L),HOMA score,CRF (mL/kg/min)
Mean,Female,6,94.6,56.8,48.1,14.4,30.7,4.29,1.48,2.58,3,0.69,4.38,25.5,0.82,41.1
Mean,Female,7,96.5,57.9,52.4,15.3,32.7,4.37,1.51,2.57,3,0.72,4.61,28.5,0.99,42.2
Mean,Female,8,98.4,59,56.1,16.2,34.8,4.4,1.53,2.54,2.99,0.75,4.78,33.5,1.21,42.8
Mean,Female,9,100.2,60,59.4,17.1,36.8,4.39,1.53,2.5,2.98,0.77,4.91,39.8,1.48,43
Mean,Female,10,101.9,61,62.2,17.9,38.8,4.36,1.52,2.46,2.98,0.79,4.99,46.7,1.76,42.9
Mean,Female,11,103.4,61.8,64.6,18.6,40.8,4.31,1.51,2.42,2.97,0.81,5.04,53.7,2.03,42.5
Mean,Female,12,104.8,62.6,66.7,19.4,42.9,4.26,1.49,2.38,2.96,0.82,5.05,59.9,2.28,42
Mean,Female,13,105.9,63.4,68.5,20,44.9,4.21,1.48,2.34,2.96,0.82,5.05,64.9,2.46,41.3
Mean,Female,14,106.8,64,70.2,20.7,46.9,4.17,1.47,2.31,2.95,0.83,5.03,67.8,2.57,40.6
Mean,Female,15,107.5,64.6,71.7,21.3,49,4.16,1.47,2.3,2.94,0.82,5,68.1,2.57,40
Mean,Female,16,107.7,65.1,73.1,21.8,51,4.18,1.48,2.3,2.93,0.82,4.96,65.2,2.45,39.5
Mean,Female,17,107.7,65.5,74.5,22.3,53,4.25,1.51,2.31,2.93,0.81,4.93,58.3,2.18,39.2
Mean,Female,18,107.2,65.8,75.9,22.8,55,4.37,1.56,2.35,2.92,0.79,4.91,46.8,1.74,39.1
SD,Female,NA,8.67,7.78,10.17,4.15,18.31,0.75,0.32,0.66,0.75,0.37,0.4,30.71,1.24,6.62
Mean,Male,6,95.8,58,51.2,15.1,24.6,4.39,1.48,2.51,2.83,0.65,4.51,21.9,0.78,46.1
Mean,Male,7,97.6,58.7,54.3,15.7,27.4,4.34,1.56,2.5,2.82,0.67,4.71,25.2,0.92,46.5
Mean,Male,8,99.4,59.4,57.2,16.4,29.7,4.3,1.6,2.47,2.83,0.69,4.86,29.8,1.11,47
Mean,Male,9,101.2,60,59.9,17,31.7,4.26,1.6,2.43,2.84,0.71,4.98,35.2,1.33,47.4
Mean,Male,10,103,60.7,62.6,17.7,33.3,4.22,1.59,2.38,2.85,0.73,5.06,41,1.57,47.9
Mean,Male,11,104.9,61.3,65.1,18.3,34.5,4.18,1.55,2.32,2.88,0.74,5.12,46.8,1.8,48.3
Mean,Male,12,106.7,62,67.4,19,35.3,4.13,1.5,2.27,2.91,0.76,5.15,52.2,2.02,48.8
Mean,Male,13,108.5,62.6,69.7,19.6,35.7,4.09,1.44,2.23,2.94,0.78,5.17,56.7,2.21,49.2
Mean,Male,14,110.3,63.3,71.8,20.3,35.7,4.05,1.39,2.19,2.99,0.8,5.17,60.1,2.35,49.6
Mean,Male,15,112.1,63.9,73.8,20.9,35.3,4.01,1.35,2.17,3.03,0.81,5.16,61.7,2.43,50.1
Mean,Male,16,113.9,64.6,75.6,21.6,34.6,3.96,1.32,2.17,3.09,0.83,5.15,61.4,2.42,50.5
Mean,Male,17,115.7,65.2,77.4,22.2,33.4,3.92,1.32,2.2,3.15,0.85,5.14,58.6,2.31,51
Mean,Male,18,117.5,65.9,78.9,22.9,31.8,3.88,1.34,2.25,3.22,0.87,5.13,52.9,2.1,51.4
SD,Male,NA,9.32,8.06,10.6,3.99,16.71,0.74,0.32,0.64,0.8,0.4,0.41,32.09,1.36,7.74
